uniq_id,jobtitle
43b19632647068535437c774b6ca6cf8,Walkin Data Entry Operator (night Shift)
d4c72325e57f89f364812b5ed5a795f0,Work Based Onhome Based Part Time.
c47df6f4cfdf5b46f1fd713ba61b9eba,Pl/sql Developer - SQL
115d28f140f694dd1cc61c53d03c66ae,Manager/ad/partner - Indirect Tax - CA
a12553fc03bc7bcced8b1bb8963f97b4,JAVA Technical Lead (6-8 yrs) -
8c3af9062ea835b0965779e2c7faac76,WALK IN - As400 Developer - Pfsweb Global Services (bangalore)
98f84958cd6409386e7f0c9e447b8510,PHP Developer
c811c10568fdbfdb3d5e633c99c914b4,Member Technical Staff-wire Harness/cable Harness/technicians
a40cb270401af0c246dbe60dcf219262,Team Leader
7774df1c672c0b92486da8b36a721638,German Translator
8ad928aef950cd1bbc1c02d72898df47,Business Development Manager
2657f737cb46cf289a05d6577a746976,Opening for Android Developer-bangalore-4-8 yrs
f22900298c591100e18a5cd63fad70d6,Full Stack Web Application (php) Developer
5465aa5513846c4f392bb504b8f84052,Looking for an Application Engineer-fpga
4147417290df34c233b6f56829e548b0,Revenue Assurance
ab05a90ab6715d8c729771267af820d4,Senior Java Full Stack Developer - Java/ Spring 4
46c420020318fa676659f1caadd7b898,Data Entry Executive
b8eda405502ff98ed50e5b0700fc2f13,PHP Developer_banashankari II Stage
551e04bc2bcb105eb1f6ad043213444f,Bluetooth Host Software Development Engineer - Automotive Infotainment
8887c7f0d749387e4c864308b2c88237,E-commerce Executive
5f481480d48fd21e31ef9456135a1c52,Analytics
760dbf8ade5505bc693950b91f8412ff,Java Developer - Spring/mvc/hibernate
a2a18796e4cb1e3e98fcb9308c47aaa8,Design Engineer
bf23fa0322c4af0f4d24ae7241a33d99,Sr iOS Developer - Objective C / Cocoa
0cd8d7fac76106c4c11ddcc8adb294c0,Hadoop Architect - Mapreduce/hive
31559616f372a0903f3dcdc5ad1adef4,Senior Equity Strategy - Asian Market - Cfa/iim/mdi/isb/fms
a3c3b933f8e5970e38e9bf5c4b6629f0,"Urgent Opening -rm-banglore, Vijayawada, Srikakulam, Chitoor"
893a5e8b989c5da97cc7a4ebb19c18f0,Telesales Executive
3382a9c15d825cb9382dc5f3a1f99ce3,"Senio QA with a Product Based Startup, Bangalore"
5322bd0275a497e51dbf614a9e4fa6d4,Duty Manager
fb748fb77d37c9cdd15daaa68f77f95a,Test Automation Engineer ( Selenium + API Testing) @ Ahmedabad
1de11091329ac2062a86df6a8aad6657,Good Opportunity for Oracle DBA - Bangalore Location
474bf0cd4f8c7ebbfd6aae32b38c51a5,HR Managers in Demand in Canada & Australia
3f589ec56032278137b20c372444160a,Call Quality
4e9af5dc247f78cc118bf346e870a466,Assistant/ Deputy Manager Purchase
b9ad611253904bd374d9686a229be68e,IBM Mobile First Developer
15cc3fddf27b02c14ad4bc2c70dcd3b0,WLAN Device Driver Development Engineer - Linux
0f469db6708503116bf996c325047bc1,Senior Developer-bi
f7bfc22b96091daefc71f2eb47a56c33,Banking / Mortgage / Finance / Sales / Bpo / Call Centre / Associate /
e4bbf295b486c69692b4cf3e848bac5e,Senior Developer (retail POS Development)
057a1eba58d3518dcdfa0e0e54ba79ce,Javascript Developer -oojs/angular/node/react - Html/css
4fdea5f6a3df2e07e26dacdd9ed26e5c,Devops Engineer
b73d3981f87c792544f3cc6624eba2bf,Developer - SQL Bi/cosmos/sql Azure
8da1ae5c44cdb50ae376aa1641e1828e,Bluetooth Stack Test Engineer - Testing & Verification
6537072a8486ccbe2bd51fa81e7f11c9,Sharepoint Technical Lead / Architect
54c5dcae1205f005984947567c7eaa38,Trainee/intern
a7294a66ba0d99190bbf4a54c800bdb4,SFDC Developers
c8e2779515b4e929c2baa2438612cf17,Architect-salarpuria Sattva
e9c37020eed438f9b21098b2d8e0b7d5,Full Stack Software Engineer - Angularjs/ruby on Rails
a35ca2d2a63d2405cc25ea1b656f65f9,Preferred Relationship Manager
c5f014ebbd77637767a89bff35f7c985,Gym Instructor
